일시,평균기온(°C),합계 일사량(MJ/m2),평균 지면온도(°C),평균 30cm 지중온도(°C),5.0m 지중온도(°C),일 미세먼지 농도(㎍/㎥),승차,검색량,당일 1차접종자 수,1차접종 누계,1차접종률(%),당일 2차접종자 수,2차접종 누계,2차접종률(%),당일 3차접종자 수,3차접종 누계,3차접종률(%),mx,my,dx,dy,추가 확진
20200205,-8.3,14.82,-2.5,3,15.6,28,6855972,3.76198,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.883512044,0.468408441,3
20200206,-6.4,13.97,-2.7,2.3,15.5,46,6774345,4.73247,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.963549993,0.267528339,0
20200207,-1.7,10.14,-0.4,1.9,15.5,44,7188696,4.26499,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.998533414,0.054138909,0
20200208,-0.1,13.89,1.4,1.9,15.4,50,4677705,3.4066,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.986826523,-0.161781997,0
20200209,-0.5,14.33,0.5,2.2,15.4,42,3442364,3.06098,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.92897672,-0.370138155,0
20200210,4,14.22,3.4,2.5,15.3,54,6964078,3.65809,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.827688998,-0.561187065,0
20200211,6.8,10.91,0.6,1.5,15.3,68,7191852,2.85086,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.687699459,-0.725995492,0
20200212,7.4,2.86,5.8,4.3,15.2,63,6976870,3.02016,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.515553857,-0.856857176,0
20200213,6.5,6.43,6.6,5.2,15.3,90,7300878,3.72185,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.31930153,-0.947653171,0
20200214,8.1,13.13,6.9,5.6,15.1,99,7718233,2.81079,0,0,0,0,0,0,0,0,0,0.866025404,0.5,0.108119018,-0.994137957,0
20200215,9.8,8.77,6.6,6.2,15.1,76,5270423,2.17298,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.108119018,-0.994137957,1
20200216,-1.4,4.14,2.2,6.2,15.1,58,3644883,2.24491,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.31930153,-0.947653171,1
20200217,-5.9,7.08,0.3,4.7,15.1,43.5,7146804,2.6342,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.515553857,-0.856857176,0
20200218,-4.1,16.78,-0.1,3.8,15,29,7156197,4.72283,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.687699459,-0.725995492,1
20200219,1,12.13,1.8,3.4,15,43,7256712,17.37258,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.827688998,-0.561187065,2
20200220,4.6,13.71,4,3.7,14.9,76,7118949,41.35139,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.92897672,-0.370138155,3
20200221,6.7,6.5,4.4,4.4,14.9,76,6987478,63.60004,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.986826523,-0.161781997,6
20200222,4,9.06,4.2,5.3,14.8,75,4151824,70.95608,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.998533414,0.054138909,1
20200223,2.5,17.37,3.6,4.8,14.8,24,2725603,71.03224,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.963549993,0.267528339,6
20200224,7,13.21,6.1,5.1,14.8,42,5893918,91.59004,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.883512044,0.468408441,13
20200225,6.7,4.11,6,6,14.8,28,5406645,100,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.762162055,0.647386285,5
20200226,6.4,10.45,5.4,5.9,14.7,21,5448248,85.89328,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.605174215,0.796093066,10
20200227,6.1,16.77,6,6.1,14.6,17,5282635,81.99333,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.419889102,0.90757542,6
20200228,4.5,2.41,4.7,6.2,14.6,32,5099486,77.20061,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-0.21497044,0.976620556,12
20200229,7.7,17.12,8.4,6.5,14.5,26,2841940,68.26237,0,0,0,0,0,0,0,0,0,0.866025404,0.5,-2.45E-16,1,9
20200301,5.8,5.4,5.5,7.1,14.5,57,1873027,58.5719,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.195090322,0.98078528,6
20200302,3.4,17.08,5,6.7,14.5,42,5047118,73.17345,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.382683432,0.923879533,6
20200303,4.8,10.62,3.7,6.5,14.5,55,5052071,60.07905,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.555570233,0.831469612,1
20200304,2.2,10.41,4,6.4,14.4,54,5039181,53.87875,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.707106781,0.707106781,6
20200305,1.4,19.25,3.8,5.7,14.4,43,5038804,47.68293,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.831469612,0.555570233,1
20200306,3.7,16.82,4.5,5.6,14.3,51,5228084,40.81752,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.923879533,0.382683432,8
20200307,7,13,7,6,14.3,78,3026177,32.72681,0,0,0,0,0,0,0,0,0,1,6.12E-17,0.98078528,0.195090322,6
20200308,9.3,18.27,8.6,6.7,14.3,73,2139785,31.53019,0,0,0,0,0,0,0,0,0,1,6.12E-17,1,6.12E-17,10
